country_name,year,occupation,trust,neither,distrust
Argentina,2019,Other occupations,26.941176470588236,31.470588235294116,41.588235294117645
Argentina,2019,The police,26,33,41
Argentina,2021,Other occupations,25,38.529411764705884,36.470588235294116
Argentina,2021,The police,24,41,35
Argentina,2022,Other occupations,26.705882352941178,30.41176470588235,42.88235294117648
Argentina,2022,The police,20,34,46
Australia,2019,Other occupations,30.117647058823525,39.05882352941177,30.823529411764703
Australia,2019,The police,56,29,15
Australia,2021,Other occupations,32.705882352941174,39.294117647058826,28
Australia,2021,The police,52,30,18
Australia,2022,Other occupations,31.94117647058824,37.470588235294116,30.588235294117645
Australia,2022,The police,50,30,20
Belgium,2019,Other occupations,28.05882352941176,41.05882352941177,30.882352941176475
Belgium,2019,The police,44,39,17
Belgium,2021,Other occupations,29.529411764705884,41.411764705882355,29.05882352941176
Belgium,2021,The police,37,42,21
Belgium,2022,Other occupations,28,39.88235294117647,32.11764705882353
Belgium,2022,The police,40,41,19
Brazil,2019,Other occupations,26.705882352941178,37.8235294117647,35.470588235294116
Brazil,2019,The police,31,37,32
Brazil,2021,Other occupations,31.64705882352941,38.11764705882353,30.235294117647058
Brazil,2021,The police,30,39,31
Brazil,2022,Other occupations,30.882352941176475,32.76470588235294,36.352941176470594
Brazil,2022,The police,29,31,40
Canada,2019,Other occupations,30.764705882352942,41.529411764705884,27.70588235294118
Canada,2019,The police,52,28,20
Canada,2021,Other occupations,33.17647058823529,43.11764705882353,23.705882352941178
Canada,2021,The police,44,33,23
Canada,2022,Other occupations,33.76470588235294,39.705882352941174,26.529411764705884
Canada,2022,The police,45,33,22
Chile,2021,Other occupations,26.176470588235293,36.11764705882353,37.705882352941174
Chile,2021,The police,24,28,48
Chile,2022,Other occupations,27.94117647058824,29.647058823529413,42.411764705882355
Chile,2022,The police,32,27,41
China,2019,Other occupations,47.705882352941174,32.35294117647059,19.941176470588236
China,2019,The police,80,11,9
China,2021,Other occupations,,,
China,2021,The police,,,
China,2022,Other occupations,,,
China,2022,The police,,,
Colombia,2021,Other occupations,23.176470588235297,39.11764705882353,37.705882352941174
Colombia,2021,The police,16,32,52
Colombia,2022,Other occupations,30.35294117647059,28.941176470588236,40.705882352941174
Colombia,2022,The police,24,26,50
Denmark,2022,Other occupations,37.470588235294116,39.23529411764706,23.294117647058822
Denmark,2022,The police,58,22,20
France,2019,Other occupations,30.176470588235297,40.35294117647059,29.470588235294116
France,2019,The police,53,35,12
France,2021,Other occupations,31.176470588235297,42.94117647058823,25.882352941176475
France,2021,The police,48,36,16
France,2022,Other occupations,33.76470588235294,36.705882352941174,29.529411764705884
France,2022,The police,50,31,19
Germany,2019,Other occupations,25.823529411764703,47.23529411764706,26.94117647058824
Germany,2019,The police,49,37,14
Germany,2021,Other occupations,28.235294117647058,47.88235294117647,23.882352941176475
