occupation,year,distrust_ARG,distrust_AUS,distrust_BEL,distrust_BRA,distrust_CAN,distrust_CHL,distrust_CHN,distrust_COL,distrust_FRA,distrust_GB,distrust_GER,distrust_HUN,distrust_IND,distrust_ITA,distrust_JAP,distrust_KOR,distrust_KSA,distrust_MYS,distrust_MEX,distrust_NLD,distrust_PER,distrust_POL,distrust_RSA,distrust_RUS,distrust_SPA,distrust_SWE,distrust_TUR,distrust_USA
Politicians generally,2021,76,53,59,77,54,78,NA,77,54,57,50,79,51,67,56,66,NA,53,66,45,73,70,75,56,68,49,61,66
Government ministers,2021,69,48,58,65,43,67,NA,73,54,49,42,72,45,51,49,51,NA,49,52,40,62,61,71,54,58,28,46,41
Advertising executives,2021,32,50,54,28,45,36,33,28,48,51,44,44,29,37,28,43,23,27,24,36,32,35,32,36,41,42,34,42
Clergy/Priests,2021,54,39,39,31,29,67,NA,43,31,22,35,36,26,46,21,27,NA,29,44,34,34,54,28,38,57,18,37,19
Journalists,2021,39,40,36,30,30,36,19,42,39,48,30,46,32,42,32,34,18,29,29,25,41,28,32,36,41,37,31,41
Bankers,2021,40,35,40,47,25,42,22,48,41,41,37,48,16,33,23,19,11,14,32,43,39,42,22,45,60,24,32,21
Civil servants,2021,66,17,24,26,18,45,NA,59,15,19,23,28,22,30,21,35,13,19,56,25,58,48,30,39,24,15,15,26
The police,2021,35,18,21,31,23,48,NA,52,16,20,14,24,27,17,14,35,NA,27,48,14,37,43,55,38,18,16,17,20
Television news readers,2021,39,25,26,33,24,37,17,49,31,18,20,40,32,43,16,27,17,17,38,19,44,38,19,43,30,19,26,39
Judges,2021,61,19,22,32,13,52,NA,52,23,13,14,31,20,29,12,36,NA,18,32,13,58,32,25,40,24,16,29,16
Business leaders,2021,34,30,26,24,28,50,23,27,19,33,24,30,22,25,19,34,11,23,24,18,25,29,24,39,40,29,37,27
Lawyers,2021,37,32,33,33,30,37,18,39,22,26,19,36,27,32,14,27,11,24,32,20,43,24,33,22,24,19,25,34
Pollsters,2021,21,31,22,22,20,20,NA,22,15,29,18,25,24,20,22,29,13,18,15,22,34,21,23,17,19,18,20,33
Armed forces members,2021,24,14,14,26,12,45,NA,44,10,11,19,20,15,19,10,22,NA,15,21,10,21,20,28,16,19,14,13,10
Teachers,2021,9,11,10,8,9,6,12,11,12,10,11,13,13,12,22,19,14,9,7,8,13,17,12,9,8,13,10,13
Ordinary men/women,2021,7,11,9,14,8,11,15,11,8,9,6,16,14,12,10,16,10,12,8,11,11,11,14,4,7,18,14,10
Scientists,2021,7,10,12,9,7,5,12,6,10,8,8,11,13,10,8,16,13,11,9,11,9,12,15,7,5,11,13,12
Doctors,2021,5,11,10,9,8,7,16,10,8,9,6,13,14,11,9,19,12,9,7,8,10,16,10,9,7,10,8,10
