occupation,year,trust_ARG,trust_AUS,trust_BEL,trust_BRA,trust_CAN,trust_CHL,trust_CHN,trust_COL,trust_FRA,trust_GB,trust_GER,trust_HUN,trust_IND,trust_ITA,trust_JAP,trust_KOR,trust_KSA,trust_MYS,trust_MEX,trust_NLD,trust_PER,trust_POL,trust_RSA,trust_RUS,trust_SPA,trust_SWE,trust_TUR,trust_USA
Doctors,2021,69,67,66,66,70,68,66,58,64,72,60,61,58,65,52,38,67,68,66,71,58,55,65,67,68,62,69,69
Scientists,2021,63,61,56,68,64,67,72,58,56,66,51,66,64,68,43,48,63,57,60,60,53,61,50,75,71,57,64,62
Teachers,2021,56,59,54,68,62,68,65,54,51,62,40,54,61,51,22,33,65,65,53,61,43,44,56,67,59,55,61,57
Armed forces members,2021,34,53,38,35,45,21,NA,20,52,55,27,43,64,45,39,25,NA,52,37,44,37,39,29,59,47,47,46,64
The police,2021,24,52,37,30,44,24,NA,16,48,48,47,35,37,47,38,22,NA,40,15,53,22,29,13,29,47,60,52,53
Ordinary men/women,2021,39,42,36,35,42,41,39,35,39,39,35,25,46,35,25,20,49,41,43,35,33,52,33,67,34,28,30,47
Judges,2021,10,45,38,26,49,15,NA,11,38,48,45,29,47,33,41,23,NA,49,19,56,11,33,36,28,32,51,33,45
Lawyers,2021,17,28,27,22,23,22,53,14,33,32,31,22,33,25,35,22,42,40,17,35,16,38,27,35,27,41,26,22
Television news readers,2021,17,28,31,26,26,20,39,14,18,31,35,13,31,18,23,21,43,42,20,35,15,21,38,25,22,41,27,24
Pollsters,2021,26,11,25,33,17,24,NA,28,36,11,26,19,23,29,15,16,46,37,34,21,26,30,17,44,19,25,34,15
Clergy/Priest,2021,13,26,17,25,29,9,NA,19,22,33,22,27,32,19,24,37,NA,29,18,22,28,20,30,33,10,40,19,45
Journalists,2021,19,21,21,34,26,18,45,17,16,13,21,11,31,18,17,15,36,32,27,30,17,25,28,27,16,24,21,26
Civil servants,2021,7,31,28,27,26,15,NA,7,32,27,22,24,41,22,21,15,46,36,10,24,10,16,23,22,19,28,32,27
Business leaders,2021,18,21,20,23,17,15,44,22,26,16,15,16,34,24,16,14,49,32,26,22,24,20,28,24,14,19,18,25
Bankers,2021,15,20,14,14,29,15,36,11,16,18,14,14,44,18,19,28,46,47,16,13,16,20,35,20,7,27,25,38
Advertising executives,2021,13,11,10,19,9,12,24,17,10,9,9,8,28,15,9,7,34,26,19,11,15,13,22,20,10,12,16,13
Government ministers,2021,6,18,11,11,17,9,NA,5,10,15,15,11,25,15,12,9,NA,24,13,20,8,14,11,18,9,26,25,18
Politicians generally,2021,3,14,10,6,13,6,NA,4,11,12,12,4,18,9,7,9,NA,19,9,19,6,9,10,16,8,17,11,9
