occuptation,year,distrust_ARG,distrust_AUS,distrust_BEL,distrust_BRA,distrust_CAN,distrust_CHL,distrust_CHN,distrust_COL,distrust_DEU,distrust_DNK,distrust_ESP,distrust_FRA,distrust_GBR,distrust_HUN,distrust_IND,distrust_ITA,distrust_JAP,distrust_KOR,distrust_MEX,distrust_MYS,distrust_NDL,distrust_PER,distrust_POL,distrust_KSA,distrust_SWE,distrust_TUR,distrust_USA,distrust_RSA
Politicians generally,2022,82,58,55,76,56,79,NA,75,48,43,76,57,60,76,50,63,56,69,69,52,47,83,74,NA,52,68,66,76
Government ministers,2022,74,50,54,64,46,62,NA,65,42,28,66,55,57,71,43,52,48,50,59,49,43,76,68,NA,29,56,49,73
Advertising executives,2022,40,51,58,39,44,44,38,36,49,42,51,56,45,52,32,43,31,52,36,31,43,42,52,29,49,48,48,38
Clergy/Priests,2022,60,36,40,37,35,64,NA,46,36,19,59,40,29,48,29,48,30,28,48,32,34,40,60,NA,24,47,28,34
Journalists,2022,46,41,38,34,30,44,20,44,32,36,46,36,42,58,35,44,36,43,30,27,22,47,40,27,37,50,37,38
Bankers,2022,46,38,43,53,26,49,24,53,37,26,64,45,40,55,22,40,30,20,45,17,42,49,54,23,26,45,29,29
Civil servants,2022,73,21,24,37,20,49,NA,59,26,22,33,20,25,34,27,34,27,33,64,27,28,72,59,21,20,28,39,36,
Television news readers,2022,48,30,27,36,27,49,16,53,24,25,40,36,20,48,34,42,25,30,47,19,20,50,48,24,47,37,30
Business leaders,2022,43,36,31,38,31,55,21,32,30,21,47,27,35,36,29,30,24,40,34,25,20,36,41,22,29,43,34,31
Lawyers,2022,45,33,37,39,33,42,15,45,21,24,36,27,27,39,32,37,20,31,33,25,20,50,34,23,19,40,39,35
The police,2022,46,20,19,40,22,41,NA,50,17,20,21,19,25,33,30,22,21,34,59,25,12,46,40,NA,18,28,27,65
Judges,2022,63,19,25,37,17,53,NA,47,15,15,33,21,17,35,22,33,16,36,46,19,14,67,42,NA,16,40,22,31
Pollsters,2022,28,36,30,28,27,28,NA,29,22,20,30,18,25,33,31,28,28,36,20,21,24,28,36,20,23,35,32,31
Armed forces members,2022,28,15,20,34,12,42,NA,45,21,19,25,15,16,23,18,23,16,26,32,15,12,32,27,NA,11,28,12,37
Ordinary men/women,2022,16,15,17,22,12,16,15,16,14,14,13,13,13,22,17,19,18,19,14,14,16,19,18,21,19,28,12,28
Teachers,2022,12,14,17,15,12,14,12,16,18,14,11,14,11,14,17,17,29,23,16,10,10,20,21,19,18,17,14,18
Scientists,2022,13,14,17,14,12,15,12,16,19,14,12,12,11,18,19,18,11,15,11,13,12,19,21,20,13,17,16,27
Doctors,2022,12,13,13,15,11,16,12,15,12,14,10,10,14,26,23,16,15,19,9,11,10,20,23,16,17,17,11,19
