country_code,country_name,year,occupation,trust,neither,distrust
ARG,Argentina,2019,Politicians generally,5,16,79
AUS,Australia,2019,Politicians generally,10,26,64
BEL,Belgium,2019,Politicians generally,9,27,64
BRA,Brazil,2019,Politicians generally,8,18,74
CAN,Canada,2019,Politicians generally,10,29,61
CHN,China,2019,Politicians generally,22,40,38
FRA,France,2019,Politicians generally,8,28,64
GB,United Kingdom,2019,Politicians generally,11,26,63
GER,Germany,2019,Politicians generally,9,35,56
HUN,Hungary,2019,Politicians generally,5,18,77
IND,India,2019,Politicians generally,17,24,59
ITA,Italy,2019,Politicians generally,8,25,67
JAP,Japan,2019,Politicians generally,7,39,54
KOR,South Korea,2019,Politicians generally,8,23,69
KSA,Saudi Arabia,2019,Politicians generally,,,
MEX,Mexico,2019,Politicians generally,6,19,75
POL,Poland,2019,Politicians generally,5,22,73
RSA,South Africa,2019,Politicians generally,6,15,79
RUS,Russia,2019,Politicians generally,10,17,73
SPA,Spain,2019,Politicians generally,7,17,76
SWE,Sweden,2019,Politicians generally,11,32,57
TUR,Turkey,2019,Politicians generally,11,24,65
USA,United States,2019,Politicians generally,9,22,69
ARG,Argentina,2019,Government ministers,8,21,71
AUS,Australia,2019,Government ministers,12,33,55
BEL,Belgium,2019,Government ministers,9,29,62
BRA,Brazil,2019,Government ministers,10,23,67
CAN,Canada,2019,Government ministers,13,41,46
CHN,China,2019,Government ministers,50,35,15
FRA,France,2019,Government ministers,10,32,58
GB,United Kingdom,2019,Government ministers,11,32,57
GER,Germany,2019,Government ministers,11,39,50
HUN,Hungary,2019,Government ministers,8,22,70
IND,India,2019,Government ministers,21,27,52
ITA,Italy,2019,Government ministers,15,32,53
JAP,Japan,2019,Government ministers,10,42,48
KOR,South Korea,2019,Government ministers,12,43,45
KSA,Saudi Arabia,2019,Government ministers,,,
MEX,Mexico,2019,Government ministers,9,26,65
POL,Poland,2019,Government ministers,13,22,65
RSA,South Africa,2019,Government ministers,5,18,77
RUS,Russia,2019,Government ministers,10,23,67
SPA,Spain,2019,Government ministers,8,21,71
SWE,Sweden,2019,Government ministers,22,44,34
TUR,Turkey,2019,Government ministers,23,25,52
USA,United States,2019,Government ministers,11,48,41
ARG,Argentina,2019,Advertising executives,16,44,40
AUS,Australia,2019,Advertising executives,8,37,55
